,Product,Price,Links,Brand,Os,Ram,Memory
0,"Redmi Note 13 Pro+ (Fusion White, 8GB RAM, 256GB Storage) | World's first Mediatek 7200 Ultra 5G | 200MP Hi-Res Camera | 1.5K Curved AMOLED | 120W HyperCharge","29,499",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MTUwNDMzOTU5NDgwMjk5OjE3MjQzOTg0NTg6c3BfYXRmOjMwMDE1MjgxMjczODUzMjo6MDo6&url=%2FRedmi-Fusion-Storage-Mediatek-HyperCharge%2Fdp%2FB0CRQ838Z9%2Fref%3Dsr_1_1_sspa%3Fcrid%3D1UO0Z6YYHREBN%26dib%3DeyJ2IjoiMSJ9.brV7rG-zDD0MO_wZuT9UcB5RXXhETdhUGWjD_ndeIHrhOEKEaz-Ur6iQZL-bfKcwrZMV5EEzWlB-JAxj_GBJSxDs9h-lU_47gShwVfxdJQRSrUUFfmntJwJI3XMUaOrK8SLdq2eDpHUISJDdmcVPM5T6Cj1FTdSOjvXTl01hgNtaFAwFqOzdRwBgIo5Kntjb_q9aw3FfUxmuGdH4b31a_myPfDx-Nc-sHGwybZ93NL0.IxNxhJQ4m265toZD2YMxqb3TwxDsi4ixlMPoO5CB34U%26dib_tag%3Dse%26keywords%3Dphones%26qid%3D1724398458%26sprefix%3Dphone%252Caps%252C229%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Redmi,Android 13.0,8 GB,256 GB
1,"Redmi Note 13 Pro+ (Fusion White, 8GB RAM, 256GB Storage) | World's first Mediatek 7200 Ultra 5G | 200MP Hi-Res Camera | 1.5K Curved AMOLED | 120W HyperCharge","29,499",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo5NzMzNDk2NzQ1OTk5NTk6MTcyNDM5ODU2MzpzcF9hdGZfbmV4dDozMDAxNTI4MTI3Mzg1MzI6OjA6Og&url=%2FRedmi-Fusion-Storage-Mediatek-HyperCharge%2Fdp%2FB0CRQ838Z9%2Fref%3Dsr_1_369_sspa%3Fcrid%3D1UO0Z6YYHREBN%26keywords%3Dphones%26qid%3D1724398563%26sprefix%3Dphone%252Caps%252C229%26sr%3D8-369-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Redmi,Android 13.0,8 GB,256 GB
2,Apple iPhone 15 Plus (128 GB) - Blue,"79,999",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MTUwNDMzOTU5NDgwMjk5OjE3MjQzOTg0NTg6c3BfYXRmOjMwMDA1NzU5NDU0MDgzMjo6MDo6&url=%2FApple-iPhone-15-Plus-128%2Fdp%2FB0CHX6X2WW%2Fref%3Dsr_1_2_sspa%3Fcrid%3D1UO0Z6YYHREBN%26dib%3DeyJ2IjoiMSJ9.brV7rG-zDD0MO_wZuT9UcB5RXXhETdhUGWjD_ndeIHrhOEKEaz-Ur6iQZL-bfKcwrZMV5EEzWlB-JAxj_GBJSxDs9h-lU_47gShwVfxdJQRSrUUFfmntJwJI3XMUaOrK8SLdq2eDpHUISJDdmcVPM5T6Cj1FTdSOjvXTl01hgNtaFAwFqOzdRwBgIo5Kntjb_q9aw3FfUxmuGdH4b31a_myPfDx-Nc-sHGwybZ93NL0.IxNxhJQ4m265toZD2YMxqb3TwxDsi4ixlMPoO5CB34U%26dib_tag%3Dse%26keywords%3Dphones%26qid%3D1724398458%26sprefix%3Dphone%252Caps%252C229%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Apple,iOS,,128 GB
3,"Redmi 13C (Stardust Black, 6GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera","8,499",https://www.amazon.in/Stardust-Storage-Powered-MediaTek-Display/dp/B0CMTW9MVK/ref=sr_1_3?crid=1UO0Z6YYHREBN&dib=eyJ2IjoiMSJ9.brV7rG-zDD0MO_wZuT9UcB5RXXhETdhUGWjD_ndeIHrhOEKEaz-Ur6iQZL-bfKcwrZMV5EEzWlB-JAxj_GBJSxDs9h-lU_47gShwVfxdJQRSrUUFfmntJwJI3XMUaOrK8SLdq2eDpHUISJDdmcVPM5T6Cj1FTdSOjvXTl01hgNtaFAwFqOzdRwBgIo5Kntjb_q9aw3FfUxmuGdH4b31a_myPfDx-Nc-sHGwybZ93NL0.IxNxhJQ4m265toZD2YMxqb3TwxDsi4ixlMPoO5CB34U&dib_tag=se&keywords=phones&qid=1724398458&sprefix=phone%2Caps%2C229&sr=8-3,Xiaomi,"MIUI 14, Android 13.0",6 GB,128 GB
4,POCO C65 (Pastel Blue 4GB RAM 128GB Storage),"6,799",https://www.amazon.in/POCO-C65-Pastel-Blue-128GB/dp/B0CQG4RX37/ref=sr_1_4?crid=1UO0Z6YYHREBN&dib=eyJ2IjoiMSJ9.brV7rG-zDD0MO_wZuT9UcB5RXXhETdhUGWjD_ndeIHrhOEKEaz-Ur6iQZL-bfKcwrZMV5EEzWlB-JAxj_GBJSxDs9h-lU_47gShwVfxdJQRSrUUFfmntJwJI3XMUaOrK8SLdq2eDpHUISJDdmcVPM5T6Cj1FTdSOjvXTl01hgNtaFAwFqOzdRwBgIo5Kntjb_q9aw3FfUxmuGdH4b31a_myPfDx-Nc-sHGwybZ93NL0.IxNxhJQ4m265toZD2YMxqb3TwxDsi4ixlMPoO5CB34U&dib_tag=se&keywords=phones&qid=1724398458&sprefix=phone%2Caps%2C229&sr=8-4,POCO,Android 13.0,4 GB,
5,"realme NARZO N65 5G (Deep Green 6GB RAM, 128GB Storage) India's 1st D6300 5G Chipset | Ultra Slim Design | 120Hz Eye Comfort Display | 50MP AI Camera| Charger in The Box","12,498",https://www.amazon.in/realme-Storage-Chipset-Comfort-Display/dp/B0D3GX1VFM/ref=sr_1_5?crid=1UO0Z6YYHREBN&dib=eyJ2IjoiMSJ9.brV7rG-zDD0MO_wZuT9UcB5RXXhETdhUGWjD_ndeIHrhOEKEaz-Ur6iQZL-bfKcwrZMV5EEzWlB-JAxj_GBJSxDs9h-lU_47gShwVfxdJQRSrUUFfmntJwJI3XMUaOrK8SLdq2eDpHUISJDdmcVPM5T6Cj1FTdSOjvXTl01hgNtaFAwFqOzdRwBgIo5Kntjb_q9aw3FfUxmuGdH4b31a_myPfDx-Nc-sHGwybZ93NL0.IxNxhJQ4m265toZD2YMxqb3TwxDsi4ixlMPoO5CB34U&dib_tag=se&keywords=phones&qid=1724398458&sprefix=phone%2Caps%2C229&sr=8-5,realme,Android 14,6 GB,128 GB
6,"Redmi 13 5G, Hawaiian Blue, 6GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment","13,999",https://aax-eu.amazon.in/x/c/JFUYtmg9Tero6dWnyRT3LnoAAAGRfihVmQMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICDUPb0i/https://www.amazon.in/Redmi-Hawaiian-Largest-Display-Segment/dp/B0D78WCNZZ/ref=sxin_15_sbv_search_btf?content-id=amzn1.sym.288d7cd9-bdfb-4778-882a-c15de0f76151%3Aamzn1.sym.288d7cd9-bdfb-4778-882a-c15de0f76151&crid=1UO0Z6YYHREBN&cv_ct_cx=phones&dib=eyJ2IjoiMSJ9.u35DW8PWDFFSQgj6wlVkcg.CsOsBuKiTYUiD1W327-pEQNXr6HvV7SaWf9EIOmClfo&dib_tag=se&keywords=phones&pd_rd_i=B0D78WCNZZ&pd_rd_r=1a8cf389-f145-4a5a-be4a-aeedc28e0405&pd_rd_w=kbbP0&pd_rd_wg=1n4NZ&pf_rd_p=288d7cd9-bdfb-4778-882a-c15de0f76151&pf_rd_r=N74NNGY3ERJHZ7ADN5YB&qid=1724398458&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=phone%2Caps%2C229&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81,Redmi,"Android 14, Xiaomi HyperOS",6 GB,128 GB
7,"Redmi 13 5G, Hawaiian Blue, 6GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment","13,999",https://www.amazon.in/Redmi-Hawaiian-Largest-Display-Segment/dp/B0D78WCNZZ/ref=sr_1_68?crid=1UO0Z6YYHREBN&dib=eyJ2IjoiMSJ9.p-Xgje0bsmJju_70QkkdWdF9ksL7WfobG2iLs_iEN5GLGuJ_RJX-CrJMW4xKVt_t94YMcR0e2PSj5g4QXwZQ9ARScbh2EwMpNBbhYjLll8JHBUeIYobfPq4fOlQ-L22V6jDxuHhuhw7-T87SFdkk6bW-y5g0xRr4BchS1517ZHNioTtvYN53WgEAMJP7jtDbY_EcXtGQ-Eu2bB2p2uoUjwtON3hfQaKT4Ah4LzwKYRc.9SGKNVqpbUhdw7GUo0oCRxrzr7TkyMv0SVI_5ZkLRw0&dib_tag=se&keywords=phones&qid=1724398473&sprefix=phone%2Caps%2C229&sr=8-68,Redmi,"Android 14, Xiaomi HyperOS",6 GB,128 GB
8,"realme NARZO N65 5G (Amber Gold 6GB RAM, 128GB Storage) India's 1st D6300 5G Chipset | Ultra Slim Design | 120Hz Eye Comfort Display | 50MP AI Camera| Charger in The Box","12,498",https://www.amazon.in/realme-Storage-Chipset-Comfort-Display/dp/B0D3GYZ82S/ref=sr_1_6?crid=1UO0Z6YYHREBN&dib=eyJ2IjoiMSJ9.brV7rG-zDD0MO_wZuT9UcB5RXXhETdhUGWjD_ndeIHrhOEKEaz-Ur6iQZL-bfKcwrZMV5EEzWlB-JAxj_GBJSxDs9h-lU_47gShwVfxdJQRSrUUFfmntJwJI3XMUaOrK8SLdq2eDpHUISJDdmcVPM5T6Cj1FTdSOjvXTl01hgNtaFAwFqOzdRwBgIo5Kntjb_q9aw3FfUxmuGdH4b31a_myPfDx-Nc-sHGwybZ93NL0.IxNxhJQ4m265toZD2YMxqb3TwxDsi4ixlMPoO5CB34U&dib_tag=se&keywords=phones&qid=1724398458&sprefix=phone%2Caps%2C229&sr=8-6,realme,Android 14,6 GB,128 GB
9,"realme NARZO 70 5G（Ice Blue,6GB RAM, 128GB Storage | Dimensity 7050 5G Chipset | 120Hz AMOLED Display | 50MP Primary Camera | 45W Charger in The Box","12,999",https://www.amazon.in/realme-Storage-Dimensity-Chipset-Display/dp/B0CZS4V2Y8/ref=sr_1_7?crid=1UO0Z6YYHREBN&dib=eyJ2IjoiMSJ9.brV7rG-zDD0MO_wZuT9UcB5RXXhETdhUGWjD_ndeIHrhOEKEaz-Ur6iQZL-bfKcwrZMV5EEzWlB-JAxj_GBJSxDs9h-lU_47gShwVfxdJQRSrUUFfmntJwJI3XMUaOrK8SLdq2eDpHUISJDdmcVPM5T6Cj1FTdSOjvXTl01hgNtaFAwFqOzdRwBgIo5Kntjb_q9aw3FfUxmuGdH4b31a_myPfDx-Nc-sHGwybZ93NL0.IxNxhJQ4m265toZD2YMxqb3TwxDsi4ixlMPoO5CB34U&dib_tag=se&keywords=phones&qid=1724398458&sprefix=phone%2Caps%2C229&sr=8-7,realme,Android 14,6 GB,128 GB
